Scenario,Month,Illuminance(lux)
msp_102_BBG-VB-45_2011-a, 07,828.99
msp_102_BBG-VB-45_2011-a, 08,1061.16
msp_102_BBG-VB-45_2011-a, 09,2865.95
msp_102_BBG-VB-45_2011-a, 10,2058.17
msp_102_BBG-VB-45_2011-a, 11,674.05
msp_102_BBG-VB-45_2011-a, 12,828.96
msp_102_BBG-VB-60_102, 01,586.52
msp_102_BBG-VB-60_102, 02,877.48
msp_102_BBG-VB-60_102, 03,1935.96
msp_102_BBG-VB-60_102, 04,1105.2
msp_102_BBG-VB-60_102, 05,599.54
msp_102_BBG-VB-60_102, 06,675.79
msp_102_BBG-VB-60_102, 07,658.04
msp_102_BBG-VB-60_102, 08,854.24
msp_102_BBG-VB-60_102, 09,2417.9
msp_102_BBG-VB-60_102, 10,1421.22
msp_102_BBG-VB-60_102, 11,414.18
msp_102_BBG-VB-60_102, 12,413.88
msp_102_BBG-VB-60_2011, 01,492.85
msp_102_BBG-VB-60_2011, 02,735.54
msp_102_BBG-VB-60_2011, 03,1627.5
msp_102_BBG-VB-60_2011, 04,915.06
msp_102_BBG-VB-60_2011, 05,483.78
msp_102_BBG-VB-60_2011, 06,540.36
msp_102_BBG-VB-60_2011, 07,527.22
msp_102_BBG-VB-60_2011, 08,701.32
msp_102_BBG-VB-60_2011, 09,2026.97
msp_102_BBG-VB-60_2011, 10,1196.59
msp_102_BBG-VB-60_2011, 11,345.67
msp_102_BBG-VB-60_2011, 12,348.3
msp_102_BBG-VB-60_2011-a, 01,492.85
msp_102_BBG-VB-60_2011-a, 02,735.54
msp_102_BBG-VB-60_2011-a, 03,1627.5
